Days,Temperature,Humidity,Organic compound(Air) Level,Air Quality Level,Pressure(Kpa),Altitude(m)
,25.9,92.5,1904,1984,1.01,-5.08
,25.8,92.3,1856,1983,1.01,-4.58
,25.8,92.2,1833,1984,1.01,-4.41
,25.8,92.1,1833,1983,1.01,-4.41
,25.9,92,1834,1911,1.01,-3.66
,25.8,91.9,1834,1984,1.01,-4.5
,25.9,91.9,1830,1984,1.01,-4.16
,25.9,91.9,1833,1982,1.01,-5.08
,25.9,91.9,1836,1983,1.01,-4.41
,nan,nan,624,1204,1.01,-1.33
,28.4,89.2,1040,1358,1.01,-1.67
,28.5,88.7,1387,1486,1.01,-1.91
,28.5,85.7,1514,1535,1.01,-3
,28.5,88,1520,1588,1.01,-2.25
,28.2,90.8,1524,1648,1.01,-2.66
,28,91.6,1498,1621,1.01,-2.16
,27.8,91.9,1519,1621,1.01,-2.25
,27.6,91.5,1598,1648,1.01,-2.5
,27.6,89.5,1614,1661,1.01,-3.16
,27.5,87.6,1599,1669,1.01,-2.58
,27.5,86.3,1592,1678,1.01,-2.58
,27.4,85.7,1584,1680,1.01,-2.58
,27.4,85.5,1553,1680,1.01,-2.66
,27.3,85.5,1388,1678,1.01,-2.16
,27.3,85.8,1535,1678,1.01,-2.75
,27.2,86.1,1521,1659,1.01,-1.5
,27.2,86.3,1509,1676,1.01,-2.58
,27.2,86.4,1520,1671,1.01,-2.16
,27.1,86.6,1510,1674,1.01,-2.5
,27.1,86.8,1500,1673,1.01,-3
,27,86.8,1490,1669,1.01,-2.08
,27,86.9,1410,1669,1.01,-2.08
,27,87.1,1488,1671,1.01,-2.25
,26.9,87.2,1506,1671,1.01,-2.08
,26.9,87.7,1485,1666,1.01,-2.16
,26.9,88.2,1483,1669,1.01,-2.83
,26.8,88,1472,1641,1.01,-2.25
,26.8,88,1471,1631,1.01,-3.5
,26.8,88.1,1456,1660,1.01,-2.75
,26.7,88,1468,1660,1.01,-2.16
,26.7,88.3,1420,1610,1.01,-2.58
,nan,nan,852,1446,1.01,-1.91
,25.8,90.8,1290,1535,1.01,-1.91
,nan,nan,640,1264,1.01,-0.33
,27.4,88.7,1346,1570,1.01,-0.5
,27.3,89.4,1598,1629,1.01,-0.5
,27.3,89.4,1618,1622,1.01,-0.92
,27.3,91.4,1775,1771,1.01,-0.67
,27.3,92.7,1765,1786,1.01,-0.25
,27.3,94,1774,1817,1.01,-0.42
,27.4,94.6,1762,1835,1.01,-0.58
,27.4,92.6,1744,1840,1.01,-0.42
,27.4,91.5,1738,1842,1.01,-0.17
,27.3,90.8,1731,1851,1.01,-0.5
,27.3,90.4,1733,1855,1.01,-0.75
,27.3,90.1,1703,1854,1.01,-0.08
,27.3,89.6,1697,1856,1.01,-0.33
,27.3,89,1695,1845,1.01,-0.25
,27.3,88.4,1683,1852,1.01,-0.33
,27.3,88.1,1676,1853,1.01,-1.41
,27.3,87.7,1672,1852,1.01,-0.25
,27.3,87.3,1667,1848,1.01,-0.92
,27.3,87,1662,1846,1.01,-0.25
,27.3,87,1663,1841,1.01,-0.58
,27.2,86.9,1654,1847,1.01,-0.67
,27.3,86.9,1649,1846,1.01,-0.08
,27.3,86.8,1649,1841,1.01,0
,27.3,86.8,1636,1840,1.01,-0.08
,27.2,86.7,1645,1847,1.01,-0.83
,27.2,86.7,1637,1839,1.01,0
,27.2,86.8,1637,1843,1.01,-0.58
,27.2,86.8,1629,1843,1.01,0
,27.2,86.9,1631,1840,1.01,-0.92
,27.2,87,1633,1840,1.01,-0.17
,27.2,87,1623,1836,1.01,-0.25
,27.2,87,1622,1849,1.01,-0.42
,27.1,86.9,1626,1843,1.01,-1
,27.1,87,1617,1843,1.01,0
,27.2,87.1,1617,1840,1.01,-0.5
,27.1,87.1,1621,1840,1.01,-0.42
,27.1,87.2,1619,1840,1.01,-0.33
,27.1,87.2,1617,1841,1.01,-0.5
,27.1,87.1,1616,1840,1.01,-0.08
,27.1,87,1614,1840,1.01,-0.92
,27.1,87.1,1602,1808,1.01,-0.33
,27,87,1611,1840,1.01,-0.5
,27,87.1,1611,1840,1.01,-0.5
,27,87.1,1606,1834,1.01,-0.75
,27,87.2,1603,1838,1.01,-0.25
,27,87.2,1599,1835,1.01,-0.17
,27,87.2,1596,1833,1.01,-0.5
,27,87.2,1599,1835,1.01,-0.17
,27,87.3,1600,1837,1.01,-1.17
,27,87.3,1595,1826,1.01,0
,27,87.3,1594,1831,1.01,-0.33
,27,87.4,1598,1835,1.01,-0.08
,nan,nan,836,1389,1.01,0.33
,26.6,91.6,1280,1614,1.01,0.17
,26.6,92.1,1584,1729,1.01,0.5
,26.6,91.7,1710,1807,1.01,0
,26.6,91,1775,1853,1.01,-0.17
,26.6,90.6,1792,1882,1.01,-0.42
,26.6,90.1,1790,1895,1.01,0.42
,26.6,89.8,1783,1899,1.01,0.42
,26.5,89.7,1774,1919,1.01,0.58
,26.5,89.6,1768,1919,1.01,0.5
,26.5,89.5,1765,1924,1.01,0.08
,26.5,89.6,1755,1933,1.01,-0.08
,26.5,89.9,1753,1931,1.01,0.08
,26.5,90,1744,1931,1.01,0.08
,26.5,90.1,1739,1936,1.01,0
,26.5,90.1,1738,1919,1.01,0.42
,26.5,90.1,1728,1925,1.01,0.5
,26.5,90.1,1718,1929,1.01,0.17
,26.5,90.1,1687,1927,1.01,0.33
,26.5,90.1,1712,1924,1.01,0.83
,26.5,90.1,1717,1926,1.01,0.92
,26.5,90.1,1713,1923,1.01,-0.5
,26.5,90.1,1711,1921,1.01,0.67
,26.5,90.1,1697,1923,1.01,0.42
,26.5,90.1,1703,1918,1.01,0.08
,26.5,90.1,1690,1921,1.01,0.5
,26.5,90.1,1697,1920,1.01,0.5
,26.5,90.1,1702,1918,1.01,0.92
,26.5,90.1,1696,1918,1.01,0.92
,26.4,90.1,1695,1914,1.01,0.5
,26.4,90.2,1682,1917,1.01,0.5
,26.4,90.3,1679,1904,1.01,1.08
,26.3,90.3,1679,1907,1.01,0.75
,26.3,90.4,1683,1915,1.01,1.08
,26.3,90.5,1680,1907,1.01,1.42
,26.2,90.6,1680,1936,1.01,0.5
,26.2,90.7,1680,1882,1.01,0.92
,26.2,90.8,1680,1892,1.01,0.75
,26.1,90.8,1674,1837,1.01,1.58
,26.1,90.9,1675,1893,1.01,1
,26,91,1674,1904,1.01,0.92
,26,91,1670,1901,1.01,0.75
,25.9,91,1668,1905,1.01,0.67
,25.9,90.9,1670,1906,1.01,1
,25.9,91.1,1667,1905,1.01,1.5
,25.8,91.1,1664,1902,1.01,1.33
,25.8,91.1,1686,1904,1.01,0.67
,25.8,91.2,1665,1902,1.01,0.75
,25.8,91.3,1667,1903,1.01,1.33
,25.7,91.3,1666,1903,1.01,1.25
,25.6,91.3,1664,1894,1.01,0.5
,25.6,91.3,1664,1902,1.01,1
,25.6,91.4,1617,1903,1.01,1.33
,25.6,91.4,1667,1903,1.01,1.33
,25.5,91.5,1664,1903,1.01,0.58
,25.5,91.5,1680,1904,1.01,0.58
,25.5,91.6,1659,1897,1.01,1.25
,25.5,91.6,1659,1901,1.01,1.08
,25.5,91.6,1659,1899,1.01,1.17
,25.4,91.6,1653,1902,1.01,1.5
,25.4,91.6,1648,1903,1.01,1.08
,25.4,91.6,1658,1898,1.01,0.75
,25.3,91.6,1648,1882,1.01,1
,25.3,91.7,1653,1895,1.01,0.83
,25.3,91.8,1652,1898,1.01,0.42
,25.3,91.9,1653,1894,1.01,1
,25.3,91.8,1685,1896,1.01,0.92
,25.3,91.8,1648,1903,1.01,0.92
,25.3,91.8,1648,1894,1.01,0.75
,25.2,91.8,1648,1893,1.01,0.17
,25.2,91.8,1648,1895,1.01,0.67
,25.2,91.7,1647,1894,1.01,1
,25.2,91.6,1644,1883,1.01,0.5
,25.1,91.6,1648,1893,1.01,1.25
,25.1,91.5,1648,1899,1.01,1.08
,25.1,91.5,1647,1895,1.01,1.08
,25.1,91.5,1647,1889,1.01,1
,25.1,91.5,1646,1881,1.01,0.83
,25,91.5,1647,1874,1.01,1.42
,25,91.5,1646,1874,1.01,0.75
,24.9,91.5,1646,1873,1.01,1.5
,24.9,91.6,1642,1878,1.01,0.75
,24.9,91.6,1642,1885,1.01,0.33
,24.9,91.5,1642,1888,1.01,0.83
,24.9,91.5,1632,1888,1.01,0.67
,24.9,91.3,1638,1887,1.01,0.25
,24.8,91,1637,1888,1.01,0.42
,24.8,90.9,1640,1883,1.01,0.33
,24.8,90.9,1635,1879,1.01,0.33
,24.8,90.9,1638,1884,1.01,1
,24.7,90.8,1641,1883,1.01,1.08
,24.7,90.8,1636,1883,1.01,0.67
,24.7,90.8,1622,1875,1.01,1
,24.7,90.7,1635,1882,1.01,0.75
,24.7,90.6,1633,1883,1.01,0.58
,24.6,90.6,1632,1882,1.01,1.08
,24.6,90.2,1628,1872,1.01,0.67
,24.6,90.4,1642,1886,1.01,0.33
,24.6,90.5,1633,1883,1.01,0.58
,24.6,90.3,1630,1875,1.01,-0.42
,24.6,90.6,1633,1883,1.01,0.92
,24.5,90.5,1635,1884,1.01,0.58
,24.5,90.4,1630,1883,1.01,0.33
,24.5,90.2,1630,1878,1.01,0.25
,24.5,90.1,1629,1883,1.01,0.33
,24.5,90.2,1630,1879,1.01,0.67
,24.5,90.3,1664,1879,1.01,1
,24.4,90,1628,1873,1.01,0.42
,24.4,90,1622,1872,1.01,0.92
,24.4,90.1,1619,1914,1.01,0.75
,24.4,90.2,1530,1878,1.01,1.08
,24.4,90.1,1627,1877,1.01,0.92
,24.3,90,1626,1873,1.01,0.17
,24.3,89.7,1618,1874,1.01,0.42
,24.3,89.6,1613,1863,1.01,0.25
,24.3,89.1,1626,1873,1.01,0.42
,24.3,89.6,1621,1872,1.01,0.75
,24.2,89.5,1616,1872,1.01,1
,24.2,89.1,1612,1866,1.01,0.42
,24.2,89.3,1621,1872,1.01,0.67
,24.2,89,1665,1871,1.01,0.83
,24.2,89.5,1619,1872,1.01,0.75
,24.2,89.4,1616,1877,1.01,0.58
,24.1,89.1,1621,1871,1.01,0.5
,24.1,89.1,1616,1872,1.01,1
,24.1,89.5,1615,1872,1.01,0.17
,24.1,89.2,1620,1872,1.01,0.42
,24.1,90.2,1616,1843,1.01,0.67
,24,89.3,1616,1870,1.01,0.25
,24.1,89.4,1616,1913,1.01,0.08
,24,89.4,1616,1872,1.01,0.58
,24,89.6,1642,1871,1.01,0.33
,24,88.5,1618,1859,1.01,0.83
,24,89.6,1614,1867,1.01,0.42
,23.9,90.1,1605,1858,1.01,0.42
,24,90.2,1574,1870,1.01,0.67
,23.9,90.2,1611,1855,1.01,0.5
,23.9,90,1616,1871,1.01,0.17
,23.9,90.5,1611,1866,1.01,0.75
,23.8,90.3,1607,1857,1.01,0.25
